Position,Const,Created,Modified,Description,Name,Known For,Birth Date
16,nm0751648,2018-01-21,2018-01-21,"Arrested Development (2003 - 2005),
Happy Endings (2011 - 2012),
Community (2009 - 2014),
Captain America: The Winter Soldier (2014),
Captain America: Civil War (2016),
Avengers: Infinity War (2018)",Joe Russo,Avengers: Endgame,1971-07-08
17,nm0000881,2018-01-21,2018-01-21,"Bad Boys (1995),
The Rock (1996),
Armageddon (1998),
Bad Boys II (2003),
The Island (2005),
Transformers (2007),
Transformers: Revenge of the Fallen(2009),
Transformers: Dark of the Moon (2011),
Pain & Gain (2013),
Transformers: Age of Extinction (2014),
Transformers: The Last Knight (2017)
",Michael Bay,Armageddon,1965-02-17
18,nm1503403,2018-01-21,2018-01-21,"Primer (2004)
Upstream Color (2013)
",Shane Carruth,Primer,
19,nm0000033,2018-01-21,2018-01-21,"Rope (1948),
Strangers on a Train (1951),
Dial M for Murder (1954),
Vertigo (1958),
Psycho (1960),
",Alfred Hitchcock,Psycho,1899-08-13
20,nm0000399,2018-01-21,2018-01-21,"Se7en (1995),
The Game (1997),
Fight Club (1999),
Zodiac (2007),
The Curious Case of Benjamin Button (2008),
The Social Network (2010),
The Girl with the Dragon Tattoo (2011),
Gone Girl (2014),
World War Z 2",David Fincher,Se7en,1962-08-28
21,nm0796117,2018-01-21,2018-01-21,"The Sixth Sense (1999),
Unbreakable (2000),
Signs (2002),
The Happening (2008),
After Earth (2013),
Split (2017)
",M. Night Shyamalan,Lady in the Water,1970-08-06
22,nm0001774,2018-01-21,2018-01-21,Tropic Thunder (2008),Ben Stiller,Zoolander,1965-11-30
23,nm0281508,2018-01-21,2018-01-21,"Zombieland (2009),
30 Minutes or Less (2011),

Venom",Ruben Fleischer,Jekyll,1974-10-31
24,nm0001716,2018-01-21,2018-01-21,"Man on Fire (2004),
The Taking of Pelham 123 (2009),
Unstoppable (2010)",Tony Scott,Domino,1944-06-21
25,nm0000500,2018-01-21,2018-01-21,"Before Sunrise (1995),
Waking Life (2001),
Tape (2001),
Before Sunset (2004),
A Scanner Darkly (2006),
Before Midnight (2013),
Boyhood (2014),

Everybody Wants Some!! (2016),
Last Flag Flying (2017)",Richard Linklater,Waking Life,1960-07-30
26,nm0946734,2018-01-21,2018-01-21,"Harry Potter and the Order of the Phoenix (2007),
Harry Potter and the Half-Blood Prince (2009),
Harry Potter and the Deathly Hallows: Part 1 (2010),
Harry Potter and the Deathly Hallows: Part 2 (2011),
The Legend of Tarzan (2016),
Fantastic Beasts and Where to Find Them (2016)",David Yates,Harry Potter and the Deathly Hallows: Part 2,1963-10-08
27,nm0001392,2018-01-21,2018-01-21,"The Lord of the Rings: The Fellowship of the Ring  (2001),
The Lord of the Rings: The Two Towers (2002),
The Lord of the Rings: The Return of the King (2003),
King Kong (2005),
The Hobbit: An Unexpected Journey (2012),
The Hobbit: The Desolation of Smaug (2013),
The Hobbit: The Battle of the Five Armies (2014),

The Adventures of Tintin: Prisoners of the Sun",Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
28,nm0565336,2018-01-21,2018-01-21,"The Station Agent (2003)
Spotlight (2015)",Tom McCarthy,The Station Agent,1966-06-07
29,nm3227090,2018-01-21,2018-01-21,"Whiplash (2014),
La La Land (2016),
10 Cloverfield Lane (2016) (Writer)",Damien Chazelle,La La Land,1985-01-19
30,nm0339030,2018-01-21,2018-01-21,"The Bourne Supremacy (2004),
United 93 (2006),
The Bourne Ultimatum (2007),
Green Zone (2010),
Captain Phillips (2013),
Jason Bourne (2016)",Paul Greengrass,United 93,1955-08-13
31,nm0000965,2018-01-21,2018-01-21,"Trainspotting (1996),
Slumdog Millionaire (2008),
127 Hours (2010),
Trance (2013),
Steve Jobs (2015),
T2 Trainspotting (2017)
",Danny Boyle,127 Hours,1956-10-20
32,nm0190859,2018-01-21,2018-01-21,"Harry Potter and the Prisoner of Azkaban (2004),
Children of Men (2006),
Gravity (2013)
",Alfonso Cuarón,Gravity,1961-11-28
33,nm1053530,2018-01-21,2018-01-21,"Quantum of Solace (2008) (Costume and Wardrobe Department),
A Single Man (2009),
Nocturnal Animals (2016)
",Tom Ford,A Single Man,1961-08-27
34,nm0327944,2018-01-21,2018-01-21,"21 Grams (2003),
Birdman or (The Unexpected Virtue of Ignorance) (2014),

The Revenant (2015)",Alejandro G. Iñárritu,The Revenant,1963-08-15
35,nm0000948,2018-01-21,2018-01-21,"Kiss Kiss Bang Bang (2005),
Iron Man 3 (2013),
The Nice Guys (2016)",Shane Black,Kiss Kiss Bang Bang,1961-12-16
36,nm0770942,2018-01-21,2018-01-21,"The Man from Earth (2007),
The Man from Earth: Holocene (2017)",Richard Schenkman,The Man from Earth,1958-03-06
37,nm0504642,2018-01-21,2018-01-21,"The Transporter (2002),
Transporter 2 (2005),
The Incredible Hulk (2008),
Clash of the Titans (2010),
Now You See Me (2013)
",Louis Leterrier,The Incredible Hulk,1973-06-17
38,nm0348181,2018-01-21,2018-01-21,"Super (2010),
Guardians of the Galaxy (2014),
Guardians of the Galaxy Vol. 2 (2017)",James Gunn,Guardians of the Galaxy,1966-08-05
39,nm0169806,2018-01-21,2018-01-21,Thor: Ragnarok (2017),Taika Waititi,What We Do in the Shadows,1975-08-16
40,nm0811583,2018-01-21,2018-01-21,"300 (2006),
Watchmen (2009),
Man of Steel (2013),
Batman v Superman: Dawn of Justice (2016),
Justice League (2017)",Zack Snyder,Wonder Woman,1966-03-01
